method,K,spearman_rho,kendall_tau,ability_std,max_gap
Baseline (all),200,1.0,1.0,2.3440764,4.827334
IRT-filtered,20,1.0,1.0,1.771197,4.329255
Random (worst),20,0.19999999999999998,0.0,1.4726925,3.162097
IRT-filtered,30,1.0,1.0,1.8073727,4.393786
Random (worst),30,0.19999999999999998,0.0,1.6560363,3.3995597
IRT-filtered,40,1.0,1.0,1.882297,4.5484467
Random (worst),40,0.19999999999999998,0.0,1.6183342,3.4837704
IRT-filtered,50,1.0,1.0,1.8900982,4.5376863
Random (worst),50,0.7999999999999999,0.6666666666666669,1.6928335,3.4733508
IRT-filtered,60,1.0,1.0,1.8988658,4.4559326
Random (worst),60,0.39999999999999997,0.3333333333333334,1.6495216,3.3330832
IRT-filtered,70,1.0,1.0,1.9475025,4.4808345
Random (worst),70,0.39999999999999997,0.3333333333333334,1.8052845,3.6854377
IRT-filtered,80,1.0,1.0,1.9445424,4.324339
Random (worst),80,0.7999999999999999,0.6666666666666669,1.7256347,3.594009
