method,K,spearman_rho,kendall_tau,ability_std,max_gap
Baseline (all),200,1.0,1.0,2.3440764,4.827334
IRT-filtered,20,1.0,1.0,2.030055,4.9561787
Random (worst),20,0.39999999999999997,0.3333333333333334,1.3716655,2.9444356
IRT-filtered,30,1.0,1.0,2.1906118,5.3581705
Random (worst),30,0.19999999999999998,0.0,1.7728924,3.6498084
IRT-filtered,40,1.0,1.0,2.2101438,5.391913
Random (worst),40,0.39999999999999997,0.3333333333333334,1.747258,3.5645397
IRT-filtered,50,1.0,1.0,2.1623366,5.206208
Random (worst),50,0.7999999999999999,0.6666666666666669,2.0301116,4.364793
IRT-filtered,60,1.0,1.0,2.179116,5.1891613
Random (worst),60,0.19999999999999998,0.0,1.9448985,4.073543
IRT-filtered,70,1.0,1.0,2.1920903,4.9909062
Random (worst),70,0.7999999999999999,0.6666666666666669,2.0640419,4.336102
IRT-filtered,80,1.0,1.0,2.1638525,4.82323
Random (worst),80,0.7999999999999999,0.6666666666666669,2.082844,4.3165746
