method,K,spearman_rho,kendall_tau,ability_std,max_gap
Baseline (all),200,1.0,1.0,2.3440764,4.827334
IRT-filtered,20,0.7999999999999999,0.6666666666666669,2.1492233,5.261656
Random (worst),20,0.19999999999999998,0.0,1.7236062,3.5047915
IRT-filtered,30,1.0,1.0,2.0848525,5.087236
Random (worst),30,0.19999999999999998,0.0,1.7240978,3.8081162
IRT-filtered,40,1.0,1.0,2.1522496,5.2030168
Random (worst),40,0.39999999999999997,0.3333333333333334,1.8360219,3.848224
IRT-filtered,50,1.0,1.0,2.147482,5.0313387
Random (worst),50,0.39999999999999997,0.3333333333333334,1.8119814,3.7705445
IRT-filtered,60,1.0,1.0,2.2156155,5.0234437
Random (worst),60,0.39999999999999997,0.3333333333333334,1.8894305,3.8689737
IRT-filtered,70,1.0,1.0,2.1735868,4.872013
Random (worst),70,0.39999999999999997,0.3333333333333334,2.045979,4.140591
IRT-filtered,80,1.0,1.0,2.2306395,4.922098
Random (worst),80,0.7999999999999999,0.6666666666666669,2.0632281,4.3196077
