method,K,spearman_rho,kendall_tau,ability_std,max_gap
Baseline (all),100,1.0,1.0,2.135362,4.4654007
IRT-filtered,20,1.0,1.0,1.9744896,4.834449
Random,20,0.8799999999999999,0.8333333333333334,1.6012564,3.4728634
IRT-filtered,30,0.7999999999999999,0.6666666666666669,1.9836278,4.8432255
Random,30,0.8799999999999999,0.8000000000000002,1.7788589,3.8295598
IRT-filtered,40,1.0,1.0,2.0711293,4.7619495
Random,40,0.9,0.8333333333333336,1.8317713,3.9743476
IRT-filtered,50,1.0,1.0,2.0313303,4.54003
Random,50,0.82,0.7333333333333335,1.9053018,3.9905746
IRT-filtered,60,1.0,1.0,2.0179002,4.458151
Random,60,0.9,0.8333333333333336,1.9841316,4.1817966
IRT-filtered,70,1.0,1.0,2.0713153,4.429803
Random,70,0.9600000000000002,0.9333333333333333,2.03414,4.2955165
IRT-filtered,80,1.0,1.0,2.143956,4.536962
Random,80,1.0,1.0,2.0720024,4.3529434
