prompt,discriminability,difficulty_offset,feasibility
01cc7466d83f4104a3ebf9defccaacdb,0.8338216,0.06388508,0.75748765
0510e27a335b4b9398f1213c426c15a5,0.7082865,0.6629646,0.49981627
07b5b6b70c634a2eb11d3d8aae67f40d,1.3162005,0.64434916,0.8520144
094653636efc423a9006532241560102,0.96594536,-0.03727024,0.387723
0bb65335f0c04b5a99ec76795e72a5df,0.8469696,0.04398019,0.71206236
0d62e147ef5d4b62961ebe5e56d04b40,0.98659235,-0.39259303,0.8412769
0e165ed3d4fe4a55855df4d37fe0e6b6,1.1448758,-1.1808562,0.6802285
11f4300ad051452e834d12be2951aeef,1.0637002,1.0260576,0.8398097
133990f94b744cf28fdb2e94a21bd19a,0.8839863,-0.11072526,0.63448924
19e310f85b9349908e811a87ac980615,0.95077515,-0.062371954,0.7695764
1a07fd701b8f4abcba122ff9e4d6f8e8,0.8777042,-1.4562321,0.8941705
1a57015ab9bf4939842fff8eb955c44c,0.980393,0.135814,0.30598813
1b518c5c4d354ebbb6923c3e466fc0b8,1.2479514,-0.6096037,0.8417332
1cb153124fd841db8fcb3a012c39e8d1,1.0011692,0.47629455,0.8257585
1f553d700adb446cb85f16acad402cfc,1.1020483,0.36769855,0.8375168
21b97bf503544e6aa769925212402235,1.0297047,1.0669367,0.8597315
222ea185fe2a4a688bc38ce2cec8bba3,1.2587681,0.6518391,0.7762711
22947a23d9824f59ac8666d6dcc553cf,1.063658,-1.2445264,0.8118784
229749d05d6b4456acd1c7c7f1941910,0.83289057,0.6616457,0.7853827
23e898b68c8649b3a7f2e9b35910529e,1.0584476,-1.0150789,0.82892454
299196752ec74350a5e3d28f6eb59474,0.9717338,-1.3456823,0.86722463
2af13cf328a44e59ba23169104847453,1.6503918,-0.23561637,0.88240427
2cdfe4e82c8d4bc4a04b34b9233be31c,0.86797476,-0.2238294,0.6944494
31c68417e3f04a749abf454c824c6410,1.189636,0.4040211,0.7660898
329948a5e8344cbab7ecebf7a1e26f7c,1.0402071,0.2989139,0.32681847
343823061fea4747a7b6efc8f3c942da,0.88255113,-1.3411185,0.83346015
36fa1c64fa334f58b39848516b7c946a,1.2966189,0.04993268,0.83282006
388a785a7b5e4beaab7841a5097bb4a6,0.921075,0.6601719,0.80565876
3908b73a8a6d4801bfcde3d4b60439d6,1.3558539,0.6553322,0.85421705
3a05f3f7a3da4634851c41b483ceaa2e,0.9121269,0.40730375,0.7408609
3ec0bc073dcf4f3ebc911b0e4c92c8d9,0.89442414,-1.0934353,0.80634177
43d6bfd47c4042ae895987dc76d68016,0.71883607,0.21547033,0.7178926
